author;location;citation;latitude;longitude;icon
Mertz Jerome;Department of Biomedical Engineering, Boston University, Boston, Massachusetts, USA;Mertz, J.(2011). Optical sectioning microscopy with planar or structured illumination. Nat. Methods, 811--819, Retrieved from: http://dx.doi.org/10.1038/nmeth.1709;42.345345;-71.099965;star
Slattery Rebecca A, Grennan Aleel K,...and Ort Donald R;Department of Plant Biology, University of Illinois at Urbana-Champaign, Urbana, USA Carl R;Slattery, R., Grennan, A., & Sivaguru, M. et al.(2016). Light sheet microscopy reveals more gradual light attenuation in light-green versus dark-green soybean leaves. J. Exp. Bot., Retrieved from: http://dx.doi.org/10.1093/jxb/erw246;40.1163;-88.22632;star
Zhao Teng, Lau Sze Cheung,...and Loy M M T;Department of Physics, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong, China;Zhao, T., Lau, S., & Wang, Y. et al.(2016). Multicolor {4D} Fluorescence Microscopy using Ultrathin Bessel Light Sheets. Sci. Rep., 26159, Retrieved from: http://dx.doi.org/10.1038/srep26159;22.25959;114.164054;star
Mertz Jerome, Kim Jinhyun;Boston University, Department of Biomedical Engineering, Boston, USA;Mertz, J., & Kim, J.(2010, jan). Scanning light-sheet microscopy in the whole mouse brain with {HiLo} background rejection. J. Biomed. Opt., 016027, 10.1117/1.3324890. Retrieved from: http://dx.doi.org/10.1117/1.3324890;42.356486;-71.059357;star
Wohland Thorsten,...and Stelzer Ernst H K;Department of Chemistry, National University of Singapore, Singapore;Wohland, T., Shi, X., & Sankaran, J. et al.(2010). Single plane illumination fluorescence correlation spectroscopy ({SPIM-FCS}) probes inhomogeneous three-dimensional environments. Opt. Express, 10627--10641, Retrieved from: http://dx.doi.org/10.1364/OE.18.010627;1.351616;103.808053;star
Turaga Diwakar, Holy Timothy E;Department of Anatomy and Neurobiology, Washington University School of Medicine, St;Turaga, D., & Holy, T.(2010). Image-based calibration of a deformable mirror in wide-field microscopy. Appl. Opt., 2030--2040, 10.1364/AO.49.002030. Retrieved from: http://dx.doi.org/10.1364/AO.49.002030;38.637;-90.2646;star
de Luis Balaguer Maria Angels, Ramos-Pezzotti Marina,...and Sozzani Rosangela;Plant and Microbial Biology Department, North Carolina State University, Raleigh, USA;de Luis Balaguer, M., Ramos-Pezzotti, M., & Rahhal, M. et al.(2016). Multi-sample Arabidopsis Growth and Imaging Chamber ({MAGIC}) for long term imaging in the {ZEISS} Lightsheet Z.1. Dev. Biol., Retrieved from: http://dx.doi.org/10.1016/j.ydbio.2016.05.029;35.750401;-78.645846;star
Tokunaga Makio, Imamoto Naoko, Sakata-Sogawa Kumiko;Biological Macromolecules Laboratory, National Institute of Genetics, Mishima, Japan;Tokunaga, M., Imamoto, N., & Sakata-Sogawa, K.(2008, feb). Highly inclined thin illumination enables clear single-molecule imaging in cells. Nat. Methods, 159--161, Retrieved from: http://dx.doi.org/10.1038/nmeth1171;34.775;131.14166667;star
Brede Christian, Friedrich Mike,...and Beilhack Andreas;Department of Medicine II, Würzburg University Hospital, Würzburg, Germany;Brede, C., Friedrich, M., & Jord\'{a}n-Garrote, A. et al.(2012, dec). Mapping immune processes in intact tissues at cellular resolution. J. Clin. Invest., 4439--4446, 10.1172/JCI65100. Retrieved from: http://dx.doi.org/10.1172/JCI65100;49.79444;9.92944;star
Bruns T, Schickinger S, Schneckenburger H;Aalen University, Institute of Applied Research, Beethovenstr;Bruns, T., Schickinger, S., & Schneckenburger, H.(2015, oct). Sample holder for axial rotation of specimens in {3D} microscopy. J. Microsc., 30--36, Retrieved from: http://dx.doi.org/10.1111/jmi.12263;50.060219;13.830871;star
Jemielita Matthew, Taormina Michael J,...and Parthasarathy Raghuveer;Department of Physics, University of Oregon, Eugene, Oregon, USA;Jemielita, M., Taormina, M., & Burns, A. et al.(2014). Spatial and temporal features of the growth of a bacterial species colonizing the zebrafish gut. MBio, 10.1128/mBio.01751-14. Retrieved from: http://dx.doi.org/10.1128/mBio.01751-14;44.0455;-123.0743;star
Scherz Paul J, Huisken Jan,...and Stainier Didier Y R;Department of Biochemistry and Biophysics, Cardiovascular Research Institute, University of California, San Francisco, San Francisco, USA;Scherz, P., Huisken, J., & Sahai-Hernandez, P. et al.(2008, mar). High-speed imaging of developing heart valves reveals interplay of morphogenesis and function. Development, 1179--1187, Retrieved from: http://dx.doi.org/10.1242/dev.010694;37.763319444444;-122.45853888889;star
Saghafi Saiedeh, Becker Klaus,...and Dodt Hans-Ulrich;Vienna University of Technology, Dept;Saghafi, S., Becker, K., & Hahn, C. et al.(2014, jan). 3D-ultramicroscopy utilizing aspheric optics. J. Biophotonics, 117--125, Retrieved from: http://dx.doi.org/10.1002/jbio.201300048;48.198888888889;16.37;star
Höckendorf Burkhard, Thumberger Thomas, Wittbrodt Joachim;Centre for Organismal Studies, Heidelberg University, Germany;Höckendorf, B., Thumberger, T., & Wittbrodt, J.(2012). Quantitative analysis of embryogenesis: a perspective for light sheet microscopy. Dev. Cell, 1111--1120, Retrieved from: http://dx.doi.org/10.1016/j.devcel.2012.10.008;49.410277777778;8.7063888888889;star
Hofman R, Segenhout J M, Wit H P;Department of Otorhinolaryngology, University Medical Center Groningen, P;Hofman, R., Segenhout, J., & Wit, H.(2009, feb). Three-dimensional reconstruction of the guinea pig inner ear, comparison of {OPFOS} and light microscopy, applications of {3D} reconstruction. J. Microsc., 251--257, Retrieved from: http://dx.doi.org/10.1111/j.1365-2818.2009.03115.x;53.252226;6.720211;star
Buytaert Jan A N, Dirckx Joris J J;Laboratory of BioMedical Physics, University of Antwerp, Belgium;Buytaert, J., & Dirckx, J.(2009). Tomographic imaging of macroscopic biomedical objects in high resolution and three dimensions using orthogonal-plane fluorescence optical sectioning. Appl. Opt., 941--948, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/19209207;51.248304;4.75729;star
Park Ok Kyu, Kwak Jina,...and Kee Yun;Korea Basic Science Institute Chuncheon Center, Korea;Park, O., Kwak, J., & Jung, Y. et al.(2015). {3D} {Light-Sheet} Fluorescence Microscopy of Cranial Neurons and Vasculature during Zebrafish Embryogenesis. Mol. Cells, 975--981, 10.14348/molcells.2015.0160. Retrieved from: http://dx.doi.org/10.14348/molcells.2015.0160;23.237933;82.388909;star
Preibisch Stephan, Amat Fernand...and Tomancak Pavel; Dresden, Germany;Preibisch, S., Amat, F., & Stamataki, E. et al.(2014, jun). Efficient Bayesian-based multiview deconvolution. Nat. Methods, 645--648, 10.1038/nmeth.2929. Retrieved from: http://dx.doi.org/10.1038/nmeth.2929;51.03333;13.73333;star
Lenard Anna, Daetwyler Stephan,...and Affolter Markus;Biozentrum der Universität Basel, Basel, Switzerland;Lenard, A., Daetwyler, S., & Betz, C. et al.(2015, apr). Endothelial cell self-fusion during vascular pruning. PLoS Biol., e1002126, 10.1371/journal.pbio.1002126. Retrieved from: http://dx.doi.org/10.1371/journal.pbio.1002126;47.55858;7.5836;star
Greiss Ferdinand,...and Braun Dieter;System Biophysics, Department of Physics, Ludwig Maximilians University, Munich, Germany;Greiss, F., Deligiannaki, M., & Jung, C. et al.(2016). {Single-Molecule} Imaging in Living Drosophila Embryos with Reflected {Light-Sheet} Microscopy. Biophys. J., 939--946, Retrieved from: http://dx.doi.org/10.1016/j.bpj.2015.12.035;51.133481;10.018343;star
Wilding Dean, Pozzi Paolo,...and Verhaegen Michel;Centre for Plant Integrative Biology, University of Nottingham, United Kingdom;Wilding, D., Pozzi, P., & Soloviev, O. et al.(2013). Lateral root morphogenesis is dependent on the mechanical properties of the overlaying tissues. Proc. Natl. Acad. Sci. U. S. A., 5229--5234, 10.1073/pnas.1210807110. Retrieved from: http://dx.doi.org/10.1073/pnas.1210807110;52.939;-1.197;star
Amat Fernando,...and Keller Philipp J;Howard Hughes Medical Institute, Janelia Farm Research Campus, Ashburn, Virginia, USA;Amat, F., Lemon, W., & Mossing, D. et al.(2014, sep). Fast, accurate reconstruction of cell lineages from large-scale fluorescence microscopy data. Nat. Methods, 951--958, Retrieved from: http://dx.doi.org/10.1038/nmeth.3036;39.0437;-77.4875;star
Turaga Diwakar, Holy Timothy E;Department of Anatomy and Neurobiology, Washington University in St;Turaga, D., & Holy, T.(2008). Miniaturization and defocus correction for objective-coupled planar illumination microscopy. Opt. Lett., 2302--2304, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/18923603;23.122237;77.475138;star
Saghafi Saiedeh, Becker Klaus,...and Dodt Hans-Ulrich;Vienna University of Technology, FKE, Dept;Saghafi, S., Becker, K., & Jährling, N. et al.(2010, oct). Image enhancement in ultramicroscopy by improved laser light sheets. J. Biophotonics, 686--695, Retrieved from: http://dx.doi.org/10.1002/jbio.201000047;48.198888888889;16.37;star
Tomer Raju, Khairy Khaled, Keller Philipp J;Janelia Farm Research Campus, Howard Hughes Medical Institute, Ashburn, VA, USA;Tomer, R., Khairy, K., & Keller, P.(2013). Light sheet microscopy in cell biology. Methods Mol. Biol., 123--137, Retrieved from: http://dx.doi.org/10.1007/978-1-62703-056-4_7;39.0437;-77.4875;star
Keller Philipp J, Ahrens Misha B;Howard Hughes Medical Institute, Janelia Research Campus, Ashburn, USA;Keller, P., & Ahrens, M.(2015). Visualizing whole-brain activity and development at the single-cell level using light-sheet microscopy. Neuron, 462--483, Retrieved from: http://dx.doi.org/10.1016/j.neuron.2014.12.039;39.0437;-77.4875;star
Stelzer Ernst H K;Buchmann Institute for Molecular Life Sciences, IZN), Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany;Stelzer, E.(2015, jan). Light-sheet fluorescence microscopy for quantitative biology. Nat. Methods, 23--26, Retrieved from: http://dx.doi.org/10.1038/nmeth.3219;50.119444444444;8.6513888888889;star
Kobitski Andrei Y, Otte Jens C,...and Nienhaus G Ulrich; Karlsruhe Institute of Technology, Wolfgang-Gaede-Str;Kobitski, A., Otte, J., & Takamiya, M. et al.(2015). An ensemble-averaged, cell density-based digital model of zebrafish embryo development derived from light-sheet microscopy data with single-cell resolution. Sci. Rep., 8601, Retrieved from: http://dx.doi.org/10.1038/srep08601;-39.33708;174.28382;star
Jährling Nina, Becker Klaus, Dodt Hans-Ulrich;Vienna University of Technology;Jährling, N., Becker, K., & Dodt, H.(2009, oct). 3D-reconstruction of blood vessels by ultramicroscopy. Organogenesis, 227--230, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/20539742;48.198888888889;16.37;star
von Wangenheim Daniel, Fangerau Jens,...and Maizel Alexis;Buchmann Institute for Molecular Life Sciences, Goethe Universität Frankfurt am Main, Germany;von Wangenheim, D., Fangerau, J., & Schmitz, A. et al.(2016). Rules and {Self-Organizing} Properties of Post-embryonic Plant Organ Cell Division Patterns. Curr. Biol., 439--449, Retrieved from: http://dx.doi.org/10.1016/j.cub.2015.12.047;50.119444444444;8.6513888888889;star
Costa Alex, Cand...and Bassi Andrea;Dipartimento di Bioscienze, Università degli studi di Milano, Milano, Italy;Costa, A., Candeo, A., & Fieramonti, L. et al.(2013). Calcium dynamics in root cells of Arabidopsis thaliana visualized with selective plane illumination microscopy. PLoS One, e75646, 10.1371/journal.pone.0075646. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0075646;45.460988888889;9.1945916666667;star
Ertürk Ali, Becker Klaus,...and Dodt Hans-Ulrich;Department of Neuroscience, Genentech, South San Francisco, California, USA;Ertürk, A., Becker, K., & Jährling, N. et al.(2012, nov). Three-dimensional imaging of solvent-cleared organs using {3DISCO}. Nat. Protoc., 1983--1995, Retrieved from: http://dx.doi.org/10.1038/nprot.2012.119;37.673705;-122.464224;star
Taylor Jonathan M;School of Physics and Astronomy, University of Glasgow Glasgow, UK;Taylor, J.(2014). Optically gated beating-heart imaging. Front. Physiol., 481, 10.3389/fphys.2014.00481. Retrieved from: http://dx.doi.org/10.3389/fphys.2014.00481;55.87;-4.27;star
Ahrens Misha B, Orger Michael B,...and Keller Philipp J;Howard Hughes Medical Institute, Janelia Farm Research Campus, Ashburn, Virginia, USA;Ahrens, M., Orger, M., & Robson, D. et al.(2013, may). Whole-brain functional imaging at cellular resolution using light-sheet microscopy. Nat. Methods, 413--420, Retrieved from: http://dx.doi.org/10.1038/nmeth.2434;39.0437;-77.4875;star
Dunsby C;Photonics Group, Department of Physics, Imperial College London, South Kensington Campus, London, UK;Dunsby, C.(2008). Optically sectioned imaging by oblique plane microscopy. Opt. Express, 20306--20316, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/19065169;51.498308;-0.176882;star
Buytaert Jan A N, Dirckx Joris J J;University of Antwerp, Laboratory of Biomedical Physics, Department of Physics, Belgium;Buytaert, J., & Dirckx, J.(2007, jan). Design and quantitative resolution measurements of an optical virtual sectioning three-dimensional imaging technique for biomedical specimens, featuring two-micrometer slicing resolution. J. Biomed. Opt., 014039, Retrieved from: http://dx.doi.org/10.1117/1.2671712;51.248304;4.75729;star
Planchon Thomas A, Gao Liang,...and Betzig Eric;Janelia Farm Research Campus, Howard Hughes Medical Institute, Ashburn, Virginia, USA;Planchon, T., Gao, L., & Milkie, D. et al.(2011, may). Rapid three-dimensional isotropic imaging of living cells using Bessel beam plane illumination. Nat. Methods, 417--423, 10.1038/nmeth.1586. Retrieved from: http://dx.doi.org/10.1038/nmeth.1586;39.0437;-77.4875;star
Cella Zanacchi Francesca, Lavagnino Zeno,...and Diaspro Alberto;Department of Nanophysics, Istituto Italiano di Tecnologia, Genova, Italy;Cella Zanacchi, F., Lavagnino, Z., & Faretta, M. et al.(2013). Light-sheet confined super-resolution using two-photon photoactivation. PLoS One, e67667, 10.1371/journal.pone.0067667. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0067667;44.400306;9.030762;star
Mohan Kavya, Purnapatra Subhajit B, Mondal Partha Pratim;Department of Instrumentation and Applied Physics, Indian Institute of Science, Bangalore, India;Mohan, K., Purnapatra, S., & Mondal, P.(2014). Three dimensional fluorescence imaging using multiple light-sheet microscopy. PLoS One, e96551, 10.1371/journal.pone.0096551. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0096551;12.96991;77.59796;star
Zhao Ming, Zhang Han,...and Peng Leilei;College of Optical Sciences, the University of Arizona;Zhao, M., Zhang, H., & Li, Y. et al.(2014). Cellular imaging of deep organ using two-photon Bessel light-sheet nonlinear structured illumination microscopy. Biomed. Opt. Express, 1296--1308, 10.1364/BOE.5.001296. Retrieved from: http://dx.doi.org/10.1364/BOE.5.001296;45.33;-75.82;star
Gao Liang, Zhu Liren,...and Wang Lihong V;Optical Imaging Laboratory, Department of Biomedical Engineering, Washington University, , St Louis, USA;Gao, L., Zhu, L., & Li, C. et al.(2014). Nonlinear light-sheet fluorescence microscopy by photobleaching imprinting. J. R. Soc. Interface, 20130851, 10.1098/rsif.2013.0851. Retrieved from: http://dx.doi.org/10.1098/rsif.2013.0851;47.283049;-120.760049;star
Dodt Hans-Ulrich, Leischner Ulrich,...and Becker Klaus;Max Planck Institute of Psychiatry, Kraepelinstr;Dodt, H., Leischner, U., & Schierloh, A. et al.(2007, apr). Ultramicroscopy: three-dimensional visualization of neuronal networks in the whole mouse brain. Nat. Methods, 331--336, Retrieved from: http://dx.doi.org/10.1038/nmeth1036;48.57333;7.75222;star
Reynaud Emmanuel G, Peychl Jan,...and Tomancak Pavel;Earth Institute, University College Dublin, Dublin, Ireland;Reynaud, E., Peychl, J., & Huisken, J. et al.(2015, jan). Guide to light-sheet microscopy for adventurous biologists. Nat. Methods, 30--34, Retrieved from: http://dx.doi.org/10.1038/nmeth.3222;53.30762;-6.22209;star
Voie A H, Burns D H, Spelman F A;Center for Bioengineering, University of Washington;Voie, A., Burns, D., & Spelman, F.(1993, jun). Orthogonal-plane fluorescence optical sectioning: three-dimensional imaging of macroscopic biological specimens. J. Microsc., 229--236, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/8371260;47.82;-122.88;star
Breckwoldt Michael O, Bode Julia,...and Tews Björn;Neuroradiology Department, University Hospital Heidelberg, Heidelberg, Germany;Breckwoldt, M., Bode, J., & Kurz, F. et al.(2016). Correlated magnetic resonance imaging and ultramicroscopy ({MR-UM}) is a tool kit to assess the dynamics of glioma angiogenesis. Elife, 10.7554/eLife.11712. Retrieved from: http://dx.doi.org/10.7554/eLife.11712;49.410277777778;8.7063888888889;star
Temerinac-Ott Maja, Ronneberger Olaf,...and Burkhardt Hans;Chair of Pattern Recognition and Image Processing, Department of Computer Science, University of Freiburg, Freiburg, Germany;Temerinac-Ott, M., Ronneberger, O., & Ochs, P. et al.(2012, apr). Multiview deblurring for {3-D} images from light-sheet-based fluorescence microscopy. IEEE Trans. Image Process., 1863--1873, Retrieved from: http://dx.doi.org/10.1109/TIP.2011.2181528;53.82306;9.28444;star
Engelbrecht Christoph J, Voigt Fabian, Helmchen Fritjof;Department of Neurophysiology, Brain Research Institute, University of Zurich, Switzerland;Engelbrecht, C., Voigt, F., & Helmchen, F.(2010). Miniaturized selective plane illumination microscopy for high-contrast in vivo fluorescence imaging. Opt. Lett., 1413--1415, Retrieved from: http://dx.doi.org/10.1364/OL.35.001413;47.425474;8.650832;star
Tomer Raju, Lovett-Barron Matthew,...and Deisseroth Karl;Department of Bioengineering, Stanford University, Stanford, USA;Tomer, R., Lovett-Barron, M., & Kauvar, I. et al.(2015). {SPED} Light Sheet Microscopy: Fast Mapping of Biological System Structure and Function. Cell, 1796--1806, 10.1016/j.cell.2015.11.061. Retrieved from: http://dx.doi.org/10.1016/j.cell.2015.11.061;37.43;-122.17;star
Fu Qinyi, Martin Benjamin L,...and Gao Liang;Department of Chemistry, Stony Brook University, Stony Brook, USA;Fu, Q., Martin, B., & Matus, D. et al.(2016). Imaging multicellular specimens with real-time optimized tiling light-sheet selective plane illumination microscopy. Nat. Commun., 11088, Retrieved from: http://dx.doi.org/10.1038/ncomms11088;40.914224;-73.11623;star
Keller Philipp J, Ahrens Misha B, Freeman Jeremy;Janelia Research Campus, Howard Hughes Medical Institute, Ashburn, Virginia, USA;Keller, P., Ahrens, M., & Freeman, J.(2015, jan). Light-sheet imaging for systems neuroscience. Nat. Methods, 27--29, Retrieved from: http://dx.doi.org/10.1038/nmeth.3214;39.0437;-77.4875;star
Turaga Diwakar, Holy Timothy E;Dept;Turaga, D., & Holy, T.(2013). Aberrations and their correction in light-sheet microscopy: a low-dimensional parametrization. Biomed. Opt. Express, 1654--1661, 10.1364/BOE.4.001654. Retrieved from: http://dx.doi.org/10.1364/BOE.4.001654;39.8272;-75.1236;star
Loftus Andrew F, Noreng Sigrid,...and Parthasarathy Raghuveer;Department of Chemistry, The University of Oregon, Eugene, United States;Loftus, A., Noreng, S., & Hsieh, V. et al.(2013). Robust measurement of membrane bending moduli using light sheet fluorescence imaging of vesicle fluctuations. Langmuir, 14588--14594, Retrieved from: http://dx.doi.org/10.1021/la403837d;44.063478;-123.074581;star
Singh Anand Pratap,...and Thorsten;Department of Biological Sciences and NUS Centre for Bio-Imaging Sciences, National University of Singapore, Singapore;Singh, A., Krieger, J., & Buchholz, J. et al.(2013). The performance of {2D} array detectors for light sheet based fluorescence correlation spectroscopy. Opt. Express, 8652--8668, Retrieved from: http://dx.doi.org/10.1364/OE.21.008652;1.332652;103.848198;star
Cella Zanacchi Francesca, Lavagnino Zeno,...and Diaspro Alberto;Istituto Italiano di Tecnologia, Genova, Italia;Cella Zanacchi, F., Lavagnino, Z., & Perrone Donnorso, M. et al.(2011, dec). Live-cell {3D} super-resolution imaging in thick biological samples. Nat. Methods, 1047--1049, Retrieved from: http://dx.doi.org/10.1038/nmeth.1744;44.400306;9.030762;star
